# T0.100000, T1.100000, T2.100000, 
0.073248, -0.027892, -0.035496, 
0.048236, 0.012084, -0.011788, 
0.173244, 0.043012, 0.021648, 
0.033644, -0.085984, 0.115044, 
0.117560, -0.030204, -0.061652, 
-0.012220, 0.064724, 0.047160, 
-0.142024, -0.007924, 0.072984, 
-0.130420, -0.140140, -0.037516, 
0.127168, -0.085708, -0.046076, 
-0.075900, -0.045152, -0.004632, 
0.032012, -0.050788, -0.081328, 
-0.030936, -0.054368, 0.025192, 
0.081328, 0.091020, -0.072440, 
0.050444, -0.026616, -0.090892, 
0.020876, 0.062796, 0.075448, 
0.071472, -0.037656, 0.075368, 
-0.114372, 0.035192, -0.004576, 
-0.079628, 0.012900, -0.085180, 
0.004332, -0.007920, -0.009464, 
0.016376, -0.007484, 0.175312, 
-0.104052, 0.112976, 0.077124, 
-0.035516, -0.027824, 0.016912, 
0.086956, -0.032524, -0.059300, 
0.013920, 0.084484, 0.072296, 
-0.094944, 0.014880, -0.043228, 
-0.083636, -0.164516, -0.064784, 
0.032672, 0.066944, 0.035048, 
0.102132, -0.046900, -0.009112, 
0.122164, 0.151664, 0.078912, 
-0.054160, -0.050280, 0.141568, 
-0.015392, 0.053756, 0.042764, 
0.000828, 0.000960, 0.087088, 
-0.003512, -0.015656, -0.073592, 
-0.112356, -0.077960, 0.036024, 
-0.083516, -0.032952, -0.063988, 
0.094524, -0.127788, -0.137288, 
0.029168, -0.151168, -0.018136, 
0.125952, 0.054764, -0.010944, 
-0.061344, 0.038320, 0.025084, 
0.054756, 0.093928, -0.021340, 
-0.163456, 0.027000, -0.047500, 
0.143720, 0.000176, -0.057776, 
0.132484, 0.039336, 0.008448, 
-0.120384, 0.000344, 0.031380, 
-0.002048, -0.075604, 0.021344, 
0.154380, 0.012008, -0.009308, 
0.036436, 0.088556, 0.076776, 
0.009184, 0.073884, 0.069900, 
-0.024704, 0.009284, 0.108644, 
0.165800, 0.036388, -0.055860, 
-0.024268, -0.029908, 0.032780, 
0.001908, -0.091504, -0.017132, 
-0.039196, -0.021892, 0.035468, 
-0.144104, 0.079560, -0.048584, 
-0.190224, -0.043372, -0.032852, 
-0.030524, -0.064032, -0.034000, 
-0.144068, 0.080684, 0.009324, 
0.010608, -0.035120, 0.034112, 
0.108708, 0.011000, -0.049268, 
-0.140232, -0.019164, 0.040680, 
0.022868, -0.011072, -0.050664, 
0.046288, 0.066972, -0.090604, 
0.036612, 0.000856, 0.110840, 
0.105476, -0.098092, 0.115804, 
-0.122164, -0.072412, -0.048444, 
0.070904, 0.000504, -0.012776, 
-0.064912, -0.066252, -0.010688, 
-0.012640, 0.039912, 0.010496, 
-0.157924, 0.078624, -0.032296, 
-0.010748, 0.023596, 0.009088, 
0.087864, 0.056504, 0.016868, 
0.168144, -0.135896, 0.055336, 
-0.026752, -0.031312, 0.091772, 
0.015336, 0.085028, -0.068764, 
-0.011212, 0.025412, 0.005536, 
0.013860, 0.027360, 0.001848, 
0.071992, 0.018820, 0.035544, 
0.040112, -0.087196, 0.031432, 
-0.020328, 0.006788, -0.057052, 
-0.022164, -0.087964, -0.078260, 
-0.091952, 0.091184, 0.083816, 
-0.139004, 0.051772, 0.014184, 
-0.062832, 0.193364, 0.000408, 
0.090940, 0.045784, 0.033676, 
0.142412, 0.128128, 0.042040, 
-0.102772, -0.017160, 0.069524, 
0.168424, 0.017784, 0.018612, 
-0.066872, 0.088836, -0.068252, 
0.263512, -0.023044, -0.001860, 
